ï»¿"College","City","State","Institution Fiscal Year","Composite Score","Sector"
"Pacific U.","Forest Grove","Ore.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Pacific Union College","Angwin","Calif.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Pacifica Graduate Institute","Carpinteria","Calif.","08/31/14","1.6","Private for-profit, 4-year or above"
"Paier College of Art","Hamden","Conn.","06/30/15","1.8","Private for-profit, 4-year or above"
"Paine College","Augusta","Ga.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Palm Beach Atlantic U.","West Palm Beach","Fla.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Palmer College of Chiropractic","Davenport","Iowa","06/30/15","3","Private not-for-profit, 4-year or above"
"Palo Alto U.","Palo Alto","Calif.","07/31/14","2","Private not-for-profit, 4-year or above"
"Pardee RAND Graduate School of Policy Studies","Santa Monica","Calif.","09/28/14","2.8","Private not-for-profit, 4-year or above"
"Park U.","Parkville","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Parker U.","Dallas","Tex.","08/31/14","3","Private not-for-profit, 4-year or above"
"Paul Quinn College","Dallas","Tex.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Paul Smith's College","Paul Smiths","N.Y.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Payne Theological Seminary","Wilberforce","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Peirce College","Philadelphia","Pa.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Penn Commercial Business/Technical School","Washington","Pa.","06/30/15","2.4","Private for-profit, 2-year"
"Pennco Tech (Pa.)","Bristol","Pa.","06/30/15","1.6","Private for-profit, 2-year"
"Pennsylvania Academy of the Fine Arts","Philadelphia","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Pennsylvania College of Art & Design","Lancaster","Pa.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Pennsylvania College of Health Sciences","Lancaster","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Pennsylvania Institute of Technology","Media","Pa.","06/30/15","0.3","Private not-for-profit, 2-year"
"Pentecostal Theological Seminary","Cleveland","Tenn.","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Pepperdine U.","Malibu","Calif.","07/31/14","3","Private not-for-profit, 4-year or above"
"Pfeiffer U.","Misenheimer","N.C.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"PFIC at the Dominican House of Studies","Washington","D.C.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Philadelphia College of Osteopathic Medicine","Philadelphia","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Philadelphia U.","Philadelphia","Pa.","06/30/15","3","Private not-for-profit, 4-year or above"
"Philander Smith College","Little Rock","Ark.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Phillips Beth Israel School of Nursing","New York","N.Y.","12/31/14","1.2","Private not-for-profit, 4-year or above"
"Phillips Graduate Institute","Chatsworth","Calif.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Phillips Theological Seminary","Tulsa","Okla.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Phoenix Institute of Herbal Medicine and Acupuncture","Phoenix","Ariz.","12/31/14","1.5","Private for-profit, 4-year or above"
"Phoenix Seminary","Phoenix","Ariz.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Piedmont Baptist College and Graduate School","Winston Salem","N.C.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Piedmont College","Demorest","Ga.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Pillar College","Newark","N.J.","06/30/15","1.7","Private not-for-profit, 4-year or above"
"Pima Medical Institute at Tucson","Tucson","Ariz.","12/31/14","3","Private for-profit, 4-year or above"
"Pine Manor College","Chestnut Hill","Mass.","06/30/15","1.2","Private not-for-profit, 4-year or above"
"Pinnacle Career Institute-South Kansas City (Mo.)","Kansas City","Mo.","12/31/14","2.2","Private for-profit, 2-year"
"Pinnacle College","Alhambra","Calif.","12/31/14","1.7","Private for-profit, 2-year"
"Pioneer Pacific College at Wilsonville (Ore.)","Wilsonville","Ore.","12/31/14","2","Private for-profit, 4-year or above"
"Pittsburgh Institute of Aeronautics","West Mifflin","Pa.","06/30/15","3","Private not-for-profit, 2-year"
"Pittsburgh Institute of Mortuary Science","Pittsburgh","Pa.","06/30/15","3","Private not-for-profit, 2-year"
"Pittsburgh Technical Institute","Oakdale","Pa.","06/30/15","2.3","Private for-profit, 2-year"
"Pittsburgh Theological Seminary","Pittsburgh","Pa.","05/31/15","3","Private not-for-profit, 4-year or above"
"Pitzer College","Claremont","Calif.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Platt College (Colo.)","Aurora","Colo.","12/31/14","2","Private for-profit, 4-year or above"
"Platt College at Alhambra (Calif.)","Alhambra","Calif.","12/31/14","3","Private for-profit, 4-year or above"
"Platt College at San Diego","San Diego","Calif.","12/31/14","1.9","Private for-profit, 4-year or above"
"Platt College at Tulsa (Okla.)","Tulsa","Okla.","12/31/14","2.2","Private for-profit, 4-year or above"
"Plaza College","Forest Hills","N.Y.","12/31/14","2.8","Private for-profit, 4-year or above"
"Point Loma Nazarene U.","San Diego","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Point Park U.","Pittsburgh","Pa.","08/31/14","3","Private not-for-profit, 4-year or above"
"Point U.","West Point","Ga.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Polytechnic U. of Puerto Rico-Hato Rey","San Juan","P.R.","07/31/14","3","Private not-for-profit, 4-year or above"
"Pomona College","Claremont","Calif.","06/30/15","3","Private not-for-profit, 4-year or above"
"Ponce School of Medicine","Ponce","P.R.","06/30/15","1.5","Private not-for-profit, 4-year or above"
"Pontifical College Josephinum","Columbus","Ohio","06/30/15","3","Private not-for-profit, 4-year or above"
"Pontifical John Paul II Institute for Studies on Marriage and Family","Washington","D.C.","12/31/14","1.4","Private not-for-profit, 4-year or above"
"Post U.","Waterbury","Conn.","06/30/15","2.1","Private for-profit, 4-year or above"
"Pratt Institute","Brooklyn","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Presbyterian College","Clinton","S.C.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Prescott College","Prescott","Ariz.","06/30/15","2.3","Private not-for-profit, 4-year or above"
"Presentation College","Aberdeen","S.D.","05/31/15","2.7","Private not-for-profit, 4-year or above"
"Prince Institute-Southeast","Montgomery","Ala.","12/31/14","2.2","Private for-profit, 2-year"
"Princeton Theological Seminary","Princeton","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Princeton U.","Princeton","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Professional Golfers Career College","Temecula","Calif.","12/31/14","1.8","Private for-profit, 2-year"
"Professional Hands Institute","Miami","Fla.","06/30/15","1.8","Private for-profit, 2-year"
"Professional Skills Institute","Maumee","Ohio","12/31/14","-0.3","Private for-profit, 2-year"
"Providence Christian College","Pasadena","Calif.","06/30/15","1.6","Private not-for-profit, 4-year or above"
"Providence College","Providence","R.I.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Provo College","Provo","Utah","12/31/14","1.6","Private for-profit, 2-year"
"Queens U. of Charlotte","Charlotte","N.C.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Quest College","San Antonio","Tex.","12/31/14","1.6","Private for-profit, 2-year"
"Quincy U.","Quincy","Ill.","05/31/15","1.8","Private not-for-profit, 4-year or above"
"Quinnipiac U.","Hamden","Conn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rabbi Jacob Joseph School","Edison","N.J.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rabbinical Academy Mesivta Rabbi Chaim Berlin","Brooklyn","N.Y.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Rabbinical College Beth Shraga","Monsey","N.Y.","08/31/14","2.1","Private not-for-profit, 4-year or above"
"Rabbinical College Bobover Yeshiva B'nei Zion","Brooklyn","N.Y.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Rabbinical College of America","Morristown","N.J.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Rabbinical College of Long Island","Long Beach","N.Y.","06/30/15","1.4","Private not-for-profit, 4-year or above"
"Rabbinical College of Telshe","Wickliffe","Ohio","06/30/15","1.1","Private not-for-profit, 4-year or above"
"Rabbinical College Ohr Shimon Yisroel","Brooklyn","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rabbinical College Ohr Yisroel","Brooklyn","N.Y.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Rabbinical Seminary of America","Flushing","N.Y.","12/31/14","2.7","Private not-for-profit, 4-year or above"
"Randolph College","Lynchburg","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Randolph-Macon College","Ashland","Va.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Ranken Technical College","Saint Louis","Mo.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Rasmussen College at St. Cloud (Minn.)","Saint Cloud","Minn.","09/30/14","2.3","Private for-profit, 4-year or above"
"Reconstructionist Rabbinical College","Wyncote","Pa.","08/31/14","3","Private not-for-profit, 4-year or above"
"Reed College","Portland","Ore.","06/30/15","3","Private not-for-profit, 4-year or above"
"Reformed Presbyterian Theological Seminary","Pittsburgh","Pa.","12/31/14","2.2","Private not-for-profit, 4-year or above"
"Regent U.","Virginia Beach","Va.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Regis College","Weston","Mass.","06/30/15","2.4","Private not-for-profit, 4-year or above"
"Regis U.","Denver","Colo.","04/30/15","2.6","Private not-for-profit, 4-year or above"
"Reinhardt U.","Waleska","Ga.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Relay Graduate School of Education","New York","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Remington College at Dallas","Garland","Tex.","06/30/15","-0.2","Private not-for-profit, 4-year or above"
"Research College of Nursing","Kansas City","Mo.","12/31/14","-0.3","Private for-profit, 4-year or above"
"Restaurant School at Walnut Hill College","Philadelphia","Pa.","12/31/14","2.1","Private for-profit, 4-year or above"
"Resurrection U.","Chicago","Ill.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Rhode Island School of Design","Providence","R.I.","06/30/15","2.8","Private not-for-profit, 4-year or above"
"Rhodes College","Memphis","Tenn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rice U.","Houston","Tex.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Richmont Graduate U.","Chattanooga","Tenn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rider U.","Lawrenceville","N.J.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Ringling College of Art and Design","Sarasota","Fla.","05/31/15","3","Private not-for-profit, 4-year or above"
"Ripon College","Ripon","Wis.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Riverside School of Health Careers","Newport News","Va.","12/31/14","2.7","Private not-for-profit, 2-year"
"Rivier University","Nashua","N.H.","06/30/15","3","Private not-for-profit, 4-year or above"
"Roanoke College","Salem","Va.","06/30/15","3","Private not-for-profit, 4-year or above"
"Robert B. Miller College","Battle Creek","Mich.","06/30/15","-1","Private not-for-profit, 4-year or above"
"Robert Morris U (Pa.)","Moon Township","Pa.","05/31/15","3","Private not-for-profit, 4-year or above"
"Robert Morris U. Illinois","Chicago","Ill.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Roberts Wesleyan College","Rochester","N.Y.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Rochester College","Rochester Hills","Mich.","05/31/15","-0.1","Private not-for-profit, 4-year or above"
"Rochester Institute of Technology","Rochester","N.Y.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rockford U.","Rockford","Ill.","06/30/15","2.1","Private not-for-profit, 4-year or above"
"Rockhurst U.","Kansas City","Mo.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rocky Mountain College","Billings","Mont.","06/30/15","2.9","Private not-for-profit, 4-year or above"
"Rocky Mountain College of Art & Design","Lakewood","Colo.","12/31/14","1.8","Private for-profit, 4-year or above"
"Rocky Mountain U. of Health Professions","Provo","Utah","12/31/14","2.5","Private for-profit, 4-year or above"
"Rocky Vista U.","Parker","Colo.","12/31/14","3","Private for-profit, 4-year or above"
"Roger Williams U.","Bristol","R.I.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Rollins College","Winter Park","Fla.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Roosevelt U.","Chicago","Ill.","08/31/14","2.3","Private not-for-profit, 4-year or above"
"Rosalind Franklin U. of Medicine and Science","North Chicago","Ill.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Rose-Hulman Institute of Technology","Terre Haute","Ind.","06/30/15","3","Private not-for-profit, 4-year or above"
"Rosedale Bible College","Irwin","Ohio","06/30/15","3","Private not-for-profit, 2-year"
"Rosedale Technical Institute","Pittsburgh","Pa.","06/30/15","1.1","Private not-for-profit, 2-year"
"Rosemont College","Rosemont","Pa.","06/30/15","2.2","Private not-for-profit, 4-year or above"
"Rudolf Steiner College","Fair Oaks","Calif.","05/31/15","2.2","Private not-for-profit, 4-year or above"
"Rush U.","Chicago","Ill.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Russell Sage College","Troy","N.Y.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Rust College","Holly Springs","Miss.","06/30/15","3","Private not-for-profit, 4-year or above"
"Saber College","Miami","Fla.","06/30/15","2.5","Private not-for-profit, 2-year"
"Sacred Heart Major Seminary","Detroit","Mich.","06/30/15","3","Private not-for-profit, 4-year or above"
"Sacred Heart School of Theology","Franklin","Wis.","06/30/15","2.5","Private not-for-profit, 4-year or above"
"Sacred Heart U.","Fairfield","Conn.","06/30/15","3","Private not-for-profit, 4-year or above"
"Sage College","Moreno Valley","Calif.","03/31/15","1.8","Private for-profit, 2-year"
"Saint Anselm College","Manchester","N.H.","06/30/15","2.6","Private not-for-profit, 4-year or above"
"Saint Anthony College of Nursing","Rockford","Ill.","09/30/14","2.2","Private not-for-profit, 4-year or above"
"Saint Bernard's School of Theology & Ministry","Rochester","N.Y.","05/31/15","2.4","Private not-for-profit, 4-year or above"
"Saint Charles Borromeo Seminary","Wynnewood","Pa.","06/30/15","1.8","Private not-for-profit, 4-year or above"
"Saint Francis Medical Center College of Nursing","Peoria","Ill.","09/30/14","3","Private not-for-profit, 4-year or above"
"Saint Francis U. (Pa.)","Loretto","Pa.","06/30/15","2.7","Private not-for-profit, 4-year or above"
"Saint Gregory's U. at Shawnee (Okla.)","Shawnee","Okla.","06/30/15","0.3","Private not-for-profit, 4-year or above"
"Saint John's Seminary (Mass.)","Boston","Mass.","06/30/15","2.2","Private not-for-profit, 4-year or above"
